%----------------------------------------------------
% @ABOUT Describes the equation p[0] + p[1] * p[2]
%
% @AUTHOR WildBoar
% @CREATED 2022-12-26 21:24:07
%----------------------------------------------------
@RELATION equation

@ATTRIBUTE p0 NUMERIC
@ATTRIBUTE p1 NUMERIC
@ATTRIBUTE p2 NUMERIC
@ATTRIBUTE output NUMERIC

@DATA
83,-14,77,-995
15,93,35,3270
86,-8,-51,494
-79,62,-73,-4605
-10,-41,63,-2593
26,40,-74,-2934
72,36,-89,-3132
68,67,-71,-4689
82,30,-38,-1058
23,-33,35,-1132
29,-98,-78,7673
-42,-31,67,-2119
93,-44,-89,4009
-58,-71,73,-5241
-79,19,84,1517
37,98,24,2389
15,70,-87,-6075
26,-9,80,-694
56,-27,-38,1082
70,96,-19,-1754
5,25,-16,-395
27,36,5,207
-54,29,13,323
-43,24,-5,-163
82,45,-86,-3788
67,-66,64,-4157
-57,50,-13,-707
-92,-24,78,-1964
88,84,-97,-8060
-49,54,99,5297
32,-40,-24,992
68,39,-88,-3364
-74,86,-6,-590
39,95,70,6689
-66,78,-33,-2640
-99,-3,2,-105
17,-8,-48,401
56,1,-20,36
-14,-59,-35,2051
-11,-56,-81,4525
-60,29,-69,-2061
17,-3,71,-196
-19,-25,9,-244
27,67,-44,-2921
-3,53,86,4555
65,6,-17,-37
-81,-76,28,-2209
-29,32,-71,-2301
3,-81,-30,2433
68,8,15,188
40,49,96,4744
23,-82,-55,4533
-54,-49,21,-1083
55,79,-12,-893
64,-72,-59,4312
50,93,0,50
-66,64,24,1470
14,87,-44,-3814
43,-9,-73,700
65,-41,36,-1411
-68,51,-63,-3281
-72,-25,-93,2253
-26,21,-42,-908
95,-71,-63,4568
-65,93,-82,-7691
-72,43,-89,-3899
28,29,76,2232
-96,-57,63,-3687
-87,38,-94,-3659
-60,4,-82,-388
28,-12,69,-800
17,17,96,1649
24,43,-30,-1266
83,-10,-1,93
72,25,-56,-1328
90,5,39,285
54,86,-31,-2612
-18,42,-36,-1530
97,7,55,482
-96,48,-89,-4368
-78,-72,-1,-6
43,46,68,3171
40,-78,11,-818
-90,-95,-99,9315
-39,30,-22,-699
5,20,36,725
-56,-74,22,-1684
-35,8,-84,-707
-18,-42,24,-1026
-63,-38,-76,2825
-100,-64,-48,2972
-1,79,50,3949
-32,-29,73,-2149
31,-19,30,-539
33,-6,-40,273
63,99,81,8082
-1,96,59,5663
73,-87,-32,2857
90,-5,26,-40
-34,-16,40,-674
-10,-16,76,-1226
42,36,7,294
-55,56,79,4369
-82,-13,-88,1062
48,72,-41,-2904
-91,36,-90,-3331
42,87,-94,-8136
1,13,72,937
21,-45,-81,3666
99,21,4,183
39,-89,40,-3521
-33,5,-72,-393
27,50,84,4227
-42,20,-76,-1562
-78,-31,96,-3054
-19,-70,-16,1101
-8,72,-28,-2024
-50,-75,85,-6425
-78,-1,-60,-18
-58,-2,13,-84
-2,90,24,2158
90,-91,81,-7281
-81,36,32,1071
55,94,-96,-8969
79,69,-27,-1784
76,-50,-45,2326
-40,42,79,3278
-16,93,-95,-8851
-79,67,4,189
-87,61,54,3207
26,-41,44,-1778
-98,-98,6,-686
84,-79,-58,4666
-32,28,89,2460
-28,8,58,436
-2,-64,-92,5886
53,-52,3,-103
33,33,-52,-1683
-10,54,67,3608
46,68,29,2018
0,-54,88,-4752
97,-51,90,-4493
3,-67,63,-4218
-3,-47,-8,373
-14,25,52,1286
96,75,88,6696
57,29,-64,-1799
-40,-86,21,-1846
-40,4,-72,-328
-73,-50,48,-2473
56,2,94,244
-3,-1,-57,54
-61,-98,-72,6995
-97,0,-19,-97
-53,38,59,2189
51,35,34,1241
39,-8,-85,719
27,4,-71,-257
-51,64,-15,-1011
-71,43,35,1434
77,0,-62,77
71,49,-11,-468
67,88,-8,-637
95,43,44,1987
-71,90,-18,-1691
40,41,69,2869
-74,-68,-39,2578
-58,60,17,962
-77,61,-19,-1236
9,90,-75,-6741
96,67,-23,-1445
-66,-10,-74,674
24,-43,-86,3722
68,-95,58,-5442
12,86,0,12
46,26,94,2490
16,52,78,4072
29,46,-10,-431
-53,70,-49,-3483
-20,-69,93,-6437
-43,-73,12,-919
-14,-86,55,-4744
12,-10,-88,892
-21,-90,69,-6231
89,-26,55,-1341
-59,-80,-67,5301
87,-12,38,-369
66,70,-16,-1054
-44,-83,-94,7758
-40,-51,-63,3173
-95,-41,-83,3308
18,45,83,3753
-27,-42,-27,1107
-63,-11,-17,124
-93,-22,57,-1347
14,-29,29,-827
0,-41,-82,3362
-62,-75,88,-6662
-26,-67,57,-3845
-19,-7,58,-425
-30,-1,-83,53
-61,69,63,4286
-78,94,73,6784
-53,-69,-38,2569
-18,90,-8,-738
91,-43,15,-554
21,57,74,4239
-9,47,51,2388
-69,-79,37,-2992
40,-46,-70,3260
-2,25,-19,-477
16,16,-98,-1552
-69,39,96,3675
-96,38,80,2944
-82,-79,70,-5612
-38,-88,79,-6990
77,-15,36,-463
4,76,-17,-1288
-93,59,-43,-2630
44,-1,11,33
27,50,-64,-3173
60,-82,5,-350
63,-51,-56,2919
11,-95,34,-3219
-9,75,55,4116
-86,89,68,5966
93,18,-95,-1617
-18,-78,82,-6414
17,-70,-7,507
74,26,93,2492
-14,-47,43,-2035
-26,-86,13,-1144
79,77,62,4853
75,-12,19,-153
10,32,-6,-182
-83,46,-65,-3073
37,-9,53,-440
43,73,28,2087
25,-9,10,-65
-82,-83,-64,5230
63,-45,-10,513
-42,30,4,78
71,-39,-67,2684
-15,89,-27,-2418
-96,-49,-95,4559
-50,-32,3,-146
-15,-94,95,-8945
-61,49,20,919
67,-74,63,-4595
-23,96,81,7753
-35,60,-64,-3875
55,70,18,1315
-89,42,32,1255
96,79,21,1755
-30,84,72,6018
-73,-66,-60,3887
-17,-28,98,-2761
-70,-37,47,-1809
50,-70,73,-5060
14,-41,22,-888
-53,24,-18,-485
-65,-68,-96,6463
54,-57,-2,168
-14,-60,-22,1306
59,-38,-38,1503
-17,-59,-52,3051
23,24,-28,-649
22,54,35,1912
-79,-43,65,-2874
47,71,76,5443
-31,-82,1,-113
3,-47,33,-1548
7,59,28,1659
-94,97,20,1846
-16,8,34,256
-2,91,76,6914
-2,15,-48,-722
71,89,59,5322
6,-90,-84,7566
-76,9,39,275
-100,78,9,602
-47,-19,14,-313
38,89,-74,-6548
-33,47,-77,-3652
87,-69,32,-2121
22,-19,-25,497
-50,79,90,7060
-46,50,31,1504
-87,-43,-6,171
81,-19,-97,1924
20,-67,82,-5474
81,-13,-85,1186
-4,-75,-96,7196
22,-8,51,-386
-3,-68,34,-2315
81,6,-85,-429
-43,8,95,717
99,62,-3,-87
-17,76,54,4087
77,9,87,860
32,82,-79,-6446
-34,63,-40,-2554
-18,-89,-15,1317
-14,-15,30,-464
90,83,14,1252
-24,16,-80,-1304
-8,25,28,692
-61,25,-10,-311
36,60,-82,-4884
-57,37,28,979
82,-79,10,-708
55,-12,-75,955
-85,70,-63,-4495
-47,-92,22,-2071
83,50,-43,-2067
-3,-73,26,-1901
-31,-29,-49,1390
49,10,28,329
-61,98,-12,-1237
-90,93,77,7071
-10,76,99,7514
52,31,-13,-351
77,-1,-43,120
66,52,-83,-4250
-59,35,68,2321
-2,84,95,7978
76,-95,-34,3306
-72,54,28,1440
8,93,-22,-2038
97,55,-28,-1443
74,-55,-100,5574
25,97,-17,-1624
-88,27,82,2126
-79,-7,34,-317
-61,34,-79,-2747
59,85,57,4904
54,61,62,3836
72,41,16,728
-48,-50,-38,1852
-18,99,-83,-8235
54,73,-85,-6151
6,-49,64,-3130
90,-37,-9,423
72,-63,37,-2259
-41,-72,-29,2047
-20,87,-44,-3848
90,41,70,2960
52,-35,11,-333
-31,17,61,1006
-17,51,12,595
0,6,-62,-372
-33,64,-11,-737
-68,54,4,148
-25,-21,41,-886
-88,38,69,2534
-64,70,56,3856
-56,60,-51,-3116
-86,-35,14,-576
26,-14,83,-1136
-61,69,35,2354
52,-79,93,-7295
90,-11,9,-9
-69,-27,-36,903
35,48,-5,-205
-23,13,-67,-894
98,49,55,2793
55,93,-32,-2921
56,60,33,2036
-77,-14,71,-1071
58,-23,40,-862
-55,81,61,4886
90,23,-50,-1060
0,54,-25,-1350
64,-58,-76,4472
-41,19,-11,-250
-56,-31,-62,1866
51,76,83,6359
-81,33,43,1338
4,56,81,4540
-25,-34,-89,3001
67,12,92,1171
29,2,-32,-35
31,-98,74,-7221
-93,18,-84,-1605
83,77,-13,-918
-28,73,57,4133
-38,25,33,787
97,-4,-82,425
41,53,26,1419
-26,80,93,7414
-15,48,5,225
-70,-71,59,-4259
-2,60,62,3718
-76,19,-20,-456
-59,2,-90,-239
-20,26,83,2138
89,40,8,409
23,38,57,2189
-7,-69,10,-697
-80,5,-10,-130
-87,91,-62,-5729
-30,-79,-33,2577
-71,-29,80,-2391
43,-5,-1,48
-76,-12,54,-724
86,69,-68,-4606
69,10,73,799
-70,-67,-37,2409
87,-21,-6,213
-51,-1,51,-102
39,-36,42,-1473
30,-14,15,-180
49,15,86,1339
-19,-89,-66,5855
33,87,22,1947
-13,73,-57,-4174
19,42,54,2287
-56,24,39,880
-41,-37,-82,2993
53,12,-31,-319
5,-96,33,-3163
99,34,-81,-2655
15,-65,-13,860
-47,-31,-50,1503
-13,-98,-63,6161
62,-11,-90,1052
-95,60,4,145
11,57,-71,-4036
-97,-84,-8,575
-79,22,-95,-2169
-57,79,61,4762
28,78,-53,-4106
0,-55,-18,990
87,-1,51,36
89,86,53,4647
-74,48,94,4438
-64,6,7,-22
-8,-83,-36,2980
21,-80,-20,1621
66,94,54,5142
23,-63,33,-2056
-16,17,12,188
31,-83,9,-716
65,56,-92,-5087
-31,45,95,4244
-78,71,-5,-433
69,59,-99,-5772
-24,-48,71,-3432
40,25,43,1115
72,-9,-11,171
27,66,-22,-1425
-88,-50,96,-4888
24,33,-87,-2847
86,-1,70,16
94,68,15,1114
41,42,-61,-2521
-63,-37,98,-3689
90,39,-98,-3732
13,-69,28,-1919
-43,-96,71,-6859
46,-17,38,-600
-75,-5,40,-275
-79,72,-74,-5407
-66,58,25,1384
56,52,-55,-2804
-28,-54,39,-2134
11,-17,-97,1660
-39,-75,42,-3189
-84,39,74,2802
44,96,30,2924
-33,-6,-87,489
57,19,-40,-703
-50,-8,-68,494
-24,-21,90,-1914
53,-65,-5,378
98,7,41,385
37,70,76,5357
40,84,-99,-8276
-17,-100,-8,783
-91,-4,-60,149
39,63,35,2244
4,-27,-94,2542
64,23,-49,-1063
49,51,30,1579
39,4,65,299
86,2,-75,-64
-21,91,47,4256
-93,-16,31,-589
61,19,31,650
-47,28,-73,-2091
-6,-81,43,-3489
81,23,68,1645
87,-61,-57,3564
-62,88,94,8210
20,-20,-2,60
-14,-82,52,-4278
-37,-2,-5,-27
-90,5,79,305
42,-34,-2,110
-75,-28,78,-2259
