%----------------------------------------------------
% @ABOUT Describes the equation p[0] / p[1] - p[2]
%
% @AUTHOR WildBoar
% @CREATED 2022-12-26 21:09:47
%----------------------------------------------------
@RELATION equation

@ATTRIBUTE p0 NUMERIC
@ATTRIBUTE p1 NUMERIC
@ATTRIBUTE p2 NUMERIC
@ATTRIBUTE output NUMERIC

@DATA
83,-14,77,-82
15,93,35,-35
86,-8,-51,41
-79,62,-73,72
-10,-41,63,-63
26,40,-74,74
72,36,-89,91
68,67,-71,72
82,30,-38,40
23,-33,35,-35
29,-98,-78,78
-42,-31,67,-66
93,-44,-89,87
-58,-71,73,-73
-79,19,84,-88
37,98,24,-24
15,70,-87,87
26,-9,80,-82
56,-27,-38,36
70,96,-19,19
5,25,-16,16
27,36,5,-5
-54,29,13,-14
-43,24,-5,4
82,45,-86,87
67,-66,64,-65
-57,50,-13,12
-92,-24,78,-75
88,84,-97,98
-49,54,99,-99
32,-40,-24,24
68,39,-88,89
-74,86,-6,6
39,95,70,-70
-66,78,-33,33
-99,-3,2,31
17,-8,-48,46
56,1,-20,76
-14,-59,-35,35
-11,-56,-81,81
-60,29,-69,67
17,-3,71,-76
-19,-25,9,-9
27,67,-44,44
-3,53,86,-86
65,6,-17,27
-81,-76,28,-27
-29,32,-71,71
3,-81,-30,30
68,8,15,-7
40,49,96,-96
23,-82,-55,55
-54,-49,21,-20
55,79,-12,12
64,-72,-59,59
50,93,0,0
-66,64,24,-25
14,87,-44,44
43,-9,-73,69
65,-41,36,-37
-68,51,-63,62
-72,-25,-93,95
-26,21,-42,41
95,-71,-63,62
-65,93,-82,82
-72,43,-89,88
28,29,76,-76
-96,-57,63,-62
-87,38,-94,92
-60,4,-82,67
28,-12,69,-71
17,17,96,-95
24,43,-30,30
83,-10,-1,-7
72,25,-56,58
90,5,39,-21
54,86,-31,31
-18,42,-36,36
97,7,55,-42
-96,48,-89,87
-78,-72,-1,2
43,46,68,-68
40,-78,11,-11
-90,-95,-99,99
-39,30,-22,21
5,20,36,-36
-56,-74,22,-22
-35,8,-84,80
-18,-42,24,-24
-63,-38,-76,77
-100,-64,-48,49
-1,79,50,-50
-32,-29,73,-72
31,-19,30,-31
33,-6,-40,35
63,99,81,-81
-1,96,59,-59
73,-87,-32,32
90,-5,26,-44
-34,-16,40,-38
-10,-16,76,-76
42,36,7,-6
-55,56,79,-79
-82,-13,-88,94
48,72,-41,41
-91,36,-90,88
42,87,-94,94
1,13,72,-72
21,-45,-81,81
99,21,4,0
39,-89,40,-40
-33,5,-72,66
27,50,84,-84
-42,20,-76,74
-78,-31,96,-94
-19,-70,-16,16
-8,72,-28,28
-50,-75,85,-85
-78,-1,-60,138
-58,-2,13,16
-2,90,24,-24
90,-91,81,-81
-81,36,32,-34
55,94,-96,96
79,69,-27,28
76,-50,-45,44
-40,42,79,-79
-16,93,-95,95
-79,67,4,-5
-87,61,54,-55
26,-41,44,-44
-98,-98,6,-5
84,-79,-58,57
-32,28,89,-90
-28,8,58,-61
-2,-64,-92,92
53,-52,3,-4
33,33,-52,53
-10,54,67,-67
46,68,29,-29
0,-54,88,-88
97,-51,90,-91
3,-67,63,-63
-3,-47,-8,8
-14,25,52,-52
96,75,88,-87
57,29,-64,65
-40,-86,21,-21
-40,4,-72,62
-73,-50,48,-47
56,2,94,-66
-3,-1,-57,60
-61,-98,-72,72
